Source,Target,Type
ABU DHABI INVESTMENT AUTHORITY,BANDHAN BANK,directed
AC VENTURES,JULO,directed
ACCEL,CROWDSTRIKE,directed
ACCEL,META,directed
ACCEL,ATLASSIAN,directed
ACCEL,CHIEF,directed
ACCEL,CHECKR,directed
ACCEL,STANZA LIVING,directed
ACCEL,AIRBYTE,directed
ACCEL,XENDIT,directed
ACCEL,MOGLIX,directed
ACCEL,DOCTOLIB,directed
ACCEL,RAZER,directed
ACCEL,CAPTAIN FRESH,directed
ACCEL,AXONIUS,directed
ACCEL,DJI,directed
ACCEL,DOCUSIGN,directed
ACCEL,AGROSTAR,directed
ACCEL,ETSY,directed
ACCEL,BIRD,directed
ACCEL,G2,directed
ACCEL,SOCURE,directed
ACCEL,VEDANTU,directed
ACCEL,MONEY VIEW,directed
ACCEL,COGOPORT,directed
ACCEL,NETSKOPE,directed
ACCEL,ALGOLIA,directed
ACCEL,SORARE,directed
ACCEL,VERIFF,directed
ACCEL,SQUARESPACE,directed
ACCEL,FUNDING CIRCLE,directed
ACCEL,BIRCHBOX,directed
ACCEL,TRUORA,directed
ACCEL,INFRAMARKET,directed
ACCEL,CYERA,directed
ACCEL,DRIP CAPITAL,directed
ACCEL,BOUNCE,directed
ACCEL,BIZONGO,directed
ACCEL,LETSVENTURE,directed
ACCEL,XERO,directed
ACCEL,PAGERDUTY,directed
ACCEL,CAUSAL,directed
ACCEL,DESERVE,directed
ACCEL,SNORKEL AI,directed
ACCEL,BOOKMYSHOW,directed
ACCEL,HOOTSUITE,directed
ACCEL,SPINNY,directed
ACCEL,AMAGI MEDIA LABS,directed
ACCEL,SPOTIFY,directed
ACCEL,AURA,directed
ACCEL,USERTESTING,directed
ACCEL,ASCENDIO,directed
ACCEL,PODIUM,directed
ACCEL,CLOUDERA,directed
ACCEL,VECTRA,directed
ACCEL,GEM,directed
ACCEL,CAPTIVATEIQ,directed
ACCEL,MUX,directed
ACCEL,GROUPON,directed
ACCEL,FRVR,directed
ACCEL,COUCHBASE,directed
ACCEL,CARTO,directed
ACCEL,TRICA,directed
ACCEL,SCALE AI,directed
ACCEL,AMPLIFYLA,directed
ACCEL,HEAVYBIT,directed
ACCEL,RENREN,directed
ACCELKKR,BIRDEYE,directed
ACCENTURE,SKYHIVE,directed
ACCENTURE,RIPPLE,directed
ACCENTURE,TEAM8,directed
ACCENTURE,YOUTH BUSINESS INTERNATIONAL,directed
ACCENTURE VENTURES,SKYHIVE,directed
ACCENTURE VENTURES,INTEROS,directed
ACCESS INDUSTRIES,DEEZER,directed
ACCESS INDUSTRIES,SELINA,directed
ACCESS INDUSTRIES,ROCKET INTERNET,directed
ACCESS VENTURES,VOLOPAY,directed
ACEQUIA CAPITAL ACECAP,SPRING,directed
ACEQUIA CAPITAL ACECAP,REC ROOM,directed
ACEQUIA CAPITAL ACECAP,TRACTABLE,directed
ACEQUIA CAPITAL ACECAP,ONFIDO,directed
ACEQUIA CAPITAL ACECAP,BLOCKSTREAM,directed
ACTIVANT CAPITAL,HYDROW,directed
ACTIVANT CAPITAL,BOLTTECH,directed
ACTIVATION CAPITAL,LIGHTHOUSE LABS RVA,directed
ADAMS STREET PARTNERS,FIVE9,directed
ADAMS STREET PARTNERS,COUCHBASE,directed
ADDITION,FAST,directed
ADDITION,AVI MEDICAL,directed
ADDITION,SNORKEL AI,directed
ADDITION,HUGGING FACE,directed
ADOBE,DEMANDBASE,directed
ADQ,ARAMEX INTERNATIONAL,directed
ADVANTAGE CAPITAL,NATURAL FIBER WELDING,directed
ADVANTAGE CAPITAL,MEDTRONIC,directed
AE INDUSTRIAL PARTNERS,FIREFLY AEROSPACE,directed
AFFIRM,NYDIG,directed
AIRBNB,OYO,directed
AIRBNB,IDME,directed
AIRBUS,ONEWEB,directed
AIRTREE VENTURES,GO1,directed
AIRTREE VENTURES,ZEPTO,directed
AIRTREE VENTURES,LAWVU,directed
ALAMEDA RESEARCH,WONDERFI,directed
ALBUM VC,FILEVINE,directed
ALCHEMIST ACCELERATOR,LAUNCHDARKLY,directed
ALCHEMIST ACCELERATOR,MOENGAGE,directed
ALECTA,RESPONSABILITY,directed
ALIBABA GROUP,FANATICS,directed
ALIBABA GROUP,XIAOHONGSHU,directed
ALIBABA GROUP,NREAL,directed
ALIBABA GROUP,SNAPDEAL,directed
ALIBABA GROUP,XPRESSBEES,directed
ALIBABA GROUP,OPTIBUS,directed
ALIBABA GROUP,FARFETCH,directed
ALIVE VENTURES,CREHANA,directed
ALKEON CAPITAL,MOVEWORKS,directed
ALKEON CAPITAL,VERIFF,directed
ALKEON CAPITAL,YUGABYTE,directed
ALKEON CAPITAL,PODIUM,directed
