Source,Target,Type
BLOCKCHAIN CAPITAL,COINLIST,directed
BLOCKCHAIN CAPITAL,CIRCLE,directed
BLOCKCHAIN CAPITAL,SECURITIZE,directed
BLOCKCHAIN CAPITAL,AAVE,directed
BLOCKCHAIN CAPITAL,ANCHORAGE,directed
BLOCKCHAIN CAPITAL,PARALLEL FINANCE,directed
BLOCKCHAIN CAPITAL,ABRA,directed
BLOCKCHAIN CAPITAL,OPENSEA,directed
BLOCKCHAIN CAPITAL,BLOCKSTREAM,directed
BLOCKCHAIN CAPITAL,BITGO,directed
BLOCKCHAIN CAPITAL,RIPPLE,directed
BLOCKCHAIN CAPITAL,KRAKEN,directed
BLOCKCHAINCOM,MINA,directed
BLOCKFI,JEEVES,directed
BLOCKFI,BLOCKDAEMON,directed
BLOCKTOWER CAPITAL,SOLANA,directed
BLOCKTOWER CAPITAL,ENJIN,directed
BLOCKTOWER CAPITAL,APTOS,directed
BLOCKTOWER CAPITAL,DAPPER LABS,directed
BLOCKTOWER CAPITAL,YIELD GUILD GAMES,directed
BLOCKVC,ANKR,directed
BLOOMBERG BETA,STREAMLIT,directed
BLU VENTURE INVESTORS,HUNTRESS,directed
BLUE CLOUD VENTURES,PAX8,directed
BLUE COLLECTIVE,BLOCKTOWER CAPITAL,directed
BLUE HORIZON CORPORATION,THE EVERY COMPANY,directed
BLUE STAR INNOVATION PARTNERS,STAX,directed
BLUERUN VENTURES,COUPA SOFTWARE,directed
BLUERUN VENTURES,LI AUTO,directed
BLUMBERG CAPITAL,YOTPO,directed
BLUMBERG CAPITAL,TRULIOO,directed
BLUME VENTURES,EULER MOTORS,directed
BLUME VENTURES,GREYORANGE,directed
BLUME VENTURES,MEDFIN INDIA,directed
BMW I VENTURES,SHIFT,directed
BMW I VENTURES,TURNTIDE TECHNOLOGIES,directed
BNKTOTHEFUTURE,KRAKEN,directed
BNP PARIBAS,CAPITAL ON TAP,directed
BNP PARIBAS,SAPHYRE,directed
BNY MELLON,CONSENSYS,directed
BNY MELLON,PROXYMITY,directed
BOEHRINGER INGELHEIM,CLICK THERAPEUTICS,directed
BOLDSTART VENTURES,SPECTRO CLOUD,directed
BOLT,OMNI,directed
BOLT,TONAL,directed
BOLT,SENSE,directed
BOLT,SPINLAUNCH,directed
BON ANGELS VENTURE PARTNERS,QUEQ,directed
BOND,POSTMAN,directed
BOND,FTX US,directed
BOND,TWINGATE,directed
BOND,VEEV,directed
BOND,SWORD HEALTH,directed
BOND,GRIN,directed
BOOST VC,21SHARES,directed
BOSCH,WERIDE,directed
BOSSA NOVA INVESTIMENTOS,GRO INTELLIGENCE,directed
BOSSA NOVA INVESTIMENTOS,SARY,directed
BOSSA NOVA INVESTIMENTOS,SUBJECT,directed
BOSSA NOVA INVESTIMENTOS,UMBA,directed
BOSSA NOVA INVESTIMENTOS,BINANCEUS,directed
BOSSA NOVA INVESTIMENTOS,EVERLI,directed
BOSSA NOVA INVESTIMENTOS,INSIDER,directed
BOSSA NOVA INVESTIMENTOS,ENCANTOS,directed
BOSSA NOVA INVESTIMENTOS,ALTIBBI,directed
BOSSA NOVA INVESTIMENTOS,BOOSTUPAI,directed
BOSSA NOVA INVESTIMENTOS,REFORGE,directed
BOSSA NOVA INVESTIMENTOS,HACK VC,directed
BOXGROUP,GENIES,directed
BOXGROUP,CHIEF,directed
BOXGROUP,CAPCHASE,directed
BOXGROUP,IDME,directed
BOXGROUP,FLOCK HOMES,directed
BOXGROUP,MAVEN CLINIC,directed
BOXGROUP,WORKRISE,directed
BOXGROUP,ARCADIA,directed
BOXGROUP,HEX TECHNOLOGIES,directed
BOXGROUP,BUBBLE,directed
BOXGROUP,DATAMINR,directed
BOYU CAPITAL,IQIYI,directed
BPIFRANCE,LEDGER,directed
BPIFRANCE,DOCTOLIB,directed
BPIFRANCE,NORTHVOLT,directed
BPIFRANCE,VESTIAIRE COLLECTIVE,directed
BPIFRANCE,DEEPKI,directed
BPIFRANCE,TALEND,directed
BPIFRANCE,DFNS,directed
BPIFRANCE,BIGBLUE,directed
BRACKET CAPITAL,LYFT,directed
BRACKET CAPITAL,EPIC GAMES,directed
BRACKET CAPITAL,SPACEX,directed
BRACKET CAPITAL,HIVE,directed
BRACKET CAPITAL,ARCADIA,directed
BRACKET CAPITAL,THIRTY MADISON,directed
BRACKET CAPITAL,PALANTIR TECHNOLOGIES,directed
BRAGIEL BROTHERS,STILT,directed
BRAND CAPITAL INTERNATIONAL,ONEVALLEY,directed
BRAND FOUNDRY VENTURES,TRACE,directed
BRAND FOUNDRY VENTURES,BIRCHBOX,directed
BREAD AND BUTTER VENTURES FKA THE SYNDICATE FUND,TRADELANES,directed
BREAKTHROUGH ENERGY VENTURES,TURNTIDE TECHNOLOGIES,directed
BREEGA,MONEYBOX,directed
BREGAL SAGEMOUNT,CRITICAL START,directed
BREVAN HOWARD ASSET MANAGEMENT,POLYSIGN,directed
BREYER CAPITAL,GRAMMARLY,directed
BREYER CAPITAL,ETSY,directed
BREYER CAPITAL,DATAWORLD,directed
BREYER CAPITAL,WASOKO,directed
BREYER CAPITAL,APOLLO AGRICULTURE,directed
BREYER CAPITAL,YOCO,directed
BRIGHTSPARK VENTURES,HOPPER,directed
BROADRIDGE,UNQORK,directed
BROADWAY ANGELS,INTEROS,directed
BULLPEN CAPITAL,BRIGHTSIDE HEALTH,directed
BYTEDANCE,LI AUTO,directed
CADENZA CAPITAL MANAGEMENT,STOCKAL,directed
CAFFEINATED CAPITAL,CAPCHASE,directed
CAFFEINATED CAPITAL,SOCOTRA,directed
CAFFEINATED CAPITAL,CLIPBOARD HEALTH,directed
CAFFEINATED CAPITAL,AGENTSYNC,directed
CAISSE DE DEPOT ET PLACEMENT DU QUEBEC,CELSIUS NETWORK,directed
CAISSE DE DEPOT ET PLACEMENT DU QUEBEC,DIALOGUE,directed
CAISSE DE DEPOT ET PLACEMENT DU QUEBEC,DRUVA,directed
CAISSE DE DEPOT ET PLACEMENT DU QUEBEC,SEDGWICK CLAIMS MANAGEMENT SERVICES,directed
CAISSE DE DEPOT ET PLACEMENT DU QUEBEC,REAL VENTURES,directed
CALVERT IMPACT CAPITAL,RESPONSABILITY,directed
CAMBER CREEK,FUNDRISE,directed
CANAAN PARTNERS,CUYANA,directed
CANAAN PARTNERS,APARTMENT LIST,directed
CANACCORD GENUITY GROUP,WONDERFI,directed
CANADA PENSION PLAN INVESTMENT BOARD,SEDGWICK CLAIMS MANAGEMENT SERVICES,directed
CANADA PENSION PLAN INVESTMENT BOARD,WME,directed
CANADA PENSION PLAN INVESTMENT BOARD,REFINITIV,directed
CANADA PENSION PLAN INVESTMENT BOARD,ALTICE USA,directed
CANARY,LATITUD,directed
CANARY,DATANOMIK,directed
CANTOR FITZGERALD,SATELLOGIC,directed
CANVAS VENTURES,BRANCH,directed
CAPITAL FACTORY,DATAWORLD,directed
CAPITAL MIDWEST FUND,SIERRA ONCOLOGY,directed
CAPITAL ONE,SNOWFLAKE,directed
CAPITALG,CROWDSTRIKE,directed
CAPITALG,THUMBTACK,directed
CAPITALG,PINDROP,directed
CAPITALG,WHATNOT,directed
CAPITALG,ZSCALER,directed
CAPITALG,EVERLAW,directed
CAPITALG,ORCA SECURITY,directed
CAPITALG,PRACTO,directed
CAPITALG,FANDUEL,directed
CAPITALG,GLASSDOOR,directed
CAPITALG,GIRNARSOFT,directed
CAPNAMIC VENTURES,STAFFBASE,directed
CAREEM,SWVL TECHNOLOGIES,directed
CASDIN CAPITAL,LETSGETCHECKED,directed
CASDIN CAPITAL,GINKGO BIOWORKS,directed
CASDIN CAPITAL,DEEPCELL,directed
CASDIN CAPITAL,HELIX,directed
CASDIN CAPITAL,ARZEDA,directed
CASDIN CAPITAL,KOMODO HEALTH,directed
CASSIUS FAMILY,MAUDE,directed
CATALYST FUND,FARMART,directed
CATALYST INVESTORS,PAX8,directed
CATHAY INNOVATION,LAIYE,directed
CATHAY INNOVATION,FINACCEL,directed
CATHAY INNOVATION,54GENE,directed
CDC GROUP,AGROSTAR,directed
CDC GROUP,MEDIKABAZAAR,directed
CDC GROUP,RBL BANK,directed
CELSIUS NETWORK,POLYGON,directed
CENTANA GROWTH PARTNERS,JUMIO,directed
CERAS VENTURES,REPUBLIC,directed
CERAS VENTURES,FASSET,directed
CERBERUS CAPITAL MANAGEMENT,DEUTSCHE BANK,directed
CERVIN,CELONA,directed
CHAN ZUCKERBERG INITIATIVE,ELEMENTAL EXCELERATOR,directed
CHECKOUTCOM,THUNES,directed
CHERRY VENTURES,FORTO,directed
CHERRY VENTURES,MONDU,directed
CHICAGO VENTURES,G2,directed
CHINA LIFE INSURANCE,JD LOGISTICS,directed
CHINESE ACADEMY OF SCIENCES,LENOVO,directed
CHIRATAE VENTURES,UNIPHORE,directed
CHIRATAE VENTURES,LETSVENTURE,directed
CHIRATAE VENTURES,KRISTALAI,directed
CIBC,CONVERSICA,directed
CICC,CIRCLE,directed
CICC,NREAL,directed
CICC,SENSETIME,directed
CICC,LANZATECH,directed
CIRCLE,CROWDCUBE,directed
CIRCLEUP,PARTAKE FOODS,directed
CISCO,PUPPET,directed
CISCO,UNIPHORE,directed
CISCO,NEAR,directed
CISCO,STARTUPBOOTCAMP,directed
CISCO,STARTX STANFORDSTARTX FUND,directed
CISCO,STELLARIS VENTURE PARTNERS,directed
CITI,RAMP,directed
CITI,TESLA,directed
CITI,HOPPER,directed
CITI,UBER,directed
CITI,CAPITOLIS,directed
CITI,WONDERSCHOOL,directed
CITI,ADVANTAGE CAPITAL,directed
CITI,UPWORK,directed
CITI,AIRBNB,directed
CITI,XEROX,directed
CITI,DIDI,directed
CITI,RELIANCE JIO,directed
CITI VENTURES,SILVERFORT,directed
CITI VENTURES,JUMIO,directed
CITI VENTURES,PPRO,directed
CITIBANK,CAPITAL ON TAP,directed
CITIBANK,THE WALT DISNEY COMPANY,directed
CITIBANK,THE BOEING COMPANY,directed
CITY LIGHT CAPITAL,BRIGHTLINE,directed
CITY LIGHT CAPITAL,ARCADIA,directed
CITY NATIONAL BANK,FIVE9,directed
CLEARCO,CARTCOM,directed
CLEO CAPITAL,BLOCPOWER,directed
CLEVELAND AVENUE,BEAR ROBOTICS,directed
CLOCKTOWER TECHNOLOGY VENTURES,DOLADO,directed
CLOCKTOWER TECHNOLOGY VENTURES,CARMOOLA,directed
CLOCKTOWER TECHNOLOGY VENTURES,CIRCLEUP,directed
CLOSED LOOP PARTNERS,TEMPERPACK,directed
CLOSED LOOP PARTNERS,TRADELANES,directed
CM VENTURES,BUYK,directed
COATUE,MOONPAY,directed
COATUE,NIANTIC,directed
COATUE,CHOCO,directed
COATUE,GRAFANA LABS,directed
COATUE,HANDSHAKE,directed
COATUE,AIRBYTE,directed
COATUE,ANAPLAN,directed
COATUE,PLAYVS,directed
COATUE,POSTMAN,directed
COATUE,SIFIVE,directed
COATUE,CAREEM,directed
COATUE,REBEL FOODS,directed
COATUE,MEITUAN,directed
COATUE,VEDANTU,directed
COATUE,AFTERPAY,directed
COATUE,SPOTON,directed
COATUE,UPGRADE,directed
COATUE,REC ROOM,directed
COATUE,SWEEP,directed
COATUE,CAUSAL,directed
COATUE,PANTHER LABS,directed
COATUE,PLEO,directed
COATUE,WHEEL,directed
COATUE,GOSTUDENT,directed
COATUE,RIVIAN,directed
COATUE,MUX,directed
COATUE,CHECKOUTCOM,directed
COATUE,SCALE AI,directed
COIL,UPHOLD,directed
COINBASE,YUGA LABS,directed
COINBASE,DFNS,directed
COINBASE VENTURES,AMBER GROUP,directed
COINBASE VENTURES,COINDCX,directed
COINBASE VENTURES,COINSWITCH KUBER,directed
COINBASE VENTURES,TERRA,directed
COINBASE VENTURES,NEAR PROTOCOL,directed
COINBASE VENTURES,SECURITIZE,directed
COINBASE VENTURES,WORLDCOIN,directed
COINBASE VENTURES,EVERYREALM,directed
COINBASE VENTURES,APTOS,directed
COINBASE VENTURES,MINA,directed
COINBASE VENTURES,ARWEAVE,directed
COINBASE VENTURES,ZESTMONEY,directed
COINBASE VENTURES,PARALLEL FINANCE,directed
COINBASE VENTURES,GUILDFI,directed
COINBASE VENTURES,UNSTOPPABLE DOMAINS,directed
COINBASE VENTURES,BITSCRUNCH,directed
COINBASE VENTURES,RARIBLE,directed
COINFUND,RARIBLE,directed
COLD START VENTURES,VEHO,directed
COLLABORATIVE FUND,CAMINO FINANCIAL,directed
COLLABORATIVE FUND,FUNDRISE,directed
COLUMBIA LAKE PARTNERS,AMPLIENCE,directed
COMCAST,BLOCKDAEMON,directed
COMCAST VENTURES,SELECTOR,directed
COMDISCO VENTURES,NETFLIX,directed
COMMERCE VENTURES,PRIME TRUST,directed
COMMERCE VENTURES,CARD91,directed
COMMUNITY INVESTMENT MANAGEMENT,CAMINO FINANCIAL,directed
COMPANY VENTURES,KNOCK,directed
COMPANY VENTURES,SEASON HEALTH,directed
CONSENSYS,AXIE INFINITY,directed
CONSENSYS,STARKWARE INDUSTRIES,directed
CONSENSYS,COMMUNITY GAMING,directed
CONTINENTAL,VOLOCOPTER,directed
CONTINENTAL,DIGILENS,directed
CORNER VENTURES,BEEWISE,directed
CORNER VENTURES,RISEUP,directed
CORNING,DIGILENS,directed
CORRELATION VENTURES,KAIYO,directed
CORRELATION VENTURES,KNOCK,directed
CORRELATION VENTURES,BOOSTUPAI,directed
COSTANOA VENTURES,DEMANDBASE,directed
COURT SQUARE CAPITAL PARTNERS,AXIS BANK,directed
COWBOY VENTURES,CHARTHOP,directed
COWBOY VENTURES,DRATA,directed
COWEN DIGITAL,POLYSIGN,directed
COWEN GROUP,POLYSIGN,directed
CPP INVESTMENTS,EMERITUS,directed
CPP INVESTMENTS,FABRIC,directed
CRAFT VENTURES,ROUTE,directed
CRAFT VENTURES,OPENPHONE,directed
CRAFT VENTURES,SENDOSO,directed
CRAFT VENTURES,HOOTSUITE,directed
CRAFT VENTURES,NORTHSPYRE,directed
CRAFT VENTURES,HIVEMAPPER,directed
CRAFT VENTURES,PRODUCTBOARD,directed
CRAFT VENTURES,ARENAIM,directed
CRAFT VENTURES,BITGO,directed
CRAFT VENTURES,AGENTSYNC,directed
CRANE VENTURE PARTNERS,TINYBIRD,directed
CRCM VENTURES,EQUITYZEN,directed
CREANDUM,LEAPSOME,directed
CREANDUM,ARK KAPITAL,directed
CREANDUM,PLEO,directed
CREATIVE DESTRUCTION LAB CDL,PIXXEL,directed
CRED,CREDAVENUE,directed
CREDAVENUE,INFRAMARKET,directed
CREDIT SUISSE,BREX,directed
CREDIT SUISSE,FINN,directed
CREDIT SUISSE,XEROX,directed
CREDIT SUISSE,LIGHTER CAPITAL,directed
CRESCENT COVE ADVISORS,POPLAR HOMES,directed
CROSSCUT VENTURES,WELCOME TECH,directed
CROSSLINK CAPITAL,COUPA SOFTWARE,directed
CROSSLINK CAPITAL,DATASTAX,directed
CROSSLINK CAPITAL,PHIL,directed
CROSSLINK CAPITAL,PANDORA,directed
CROWDCUBE,FIDEL API,directed
CROWDCUBE,MISO ROBOTICS,directed
CROWDCUBE,NOTHING,directed
CROWDCUBE,WHAT3WORDS,directed
CRV,GUPSHUP,directed
CRV,TINYBIRD,directed
CRV,NORTHSPYRE,directed
CRV,AVIATRIX,directed
CRV,PROTONMAIL,directed
CSA PARTNERS LLC,GENER8TOR,directed
CUSHMAN WAKEFIELD,WEWORK,directed
CYBERSTARTS,ISLAND,directed
CYBERSTARTS,CYERA,directed
CYBERSTARTS,WIZ,directed
DAIMLER,CHARGEPOINT,directed
DAIMLER,TURO,directed
DAIMLER,CAREEM,directed
DAIMLER,VOLOCOPTER,directed
DAIMLER,WHAT3WORDS,directed
DAIMLER,BOLT,directed
DAPPER LABS,GENIES,directed
DAPPER LABS,LAYERZERO LABS,directed
DAPPER LABS,EVERYREALM,directed
DAPPER LABS,COMMUNITY GAMING,directed
DAPPER LABS,GUILDFI,directed
DARPA,NVIDIA,directed
DARPA,FORALLSECURE,directed
DASH VENTURES,ALTIBBI,directed
DAY ONE CAPITAL,MATERIAL EXCHANGE,directed
DCM VENTURES,FUBOTV,directed
DCM VENTURES,POLYCHAIN,directed
DCVC,ZOOM,directed
DCVC,CIRCLECI,directed
DCVC,LUMAFIELD,directed
DCVC,GRO INTELLIGENCE,directed
DCVC,BIOBOT ANALYTICS,directed
DCVC,ROCKET LAB,directed
DCVC,DEEPCELL,directed
DCVC,RAPTOR MAPS,directed
DCVC,ON DECK,directed
DCVC,FORWARD,directed
DCVC,ELASTIC,directed
DCVC,HEAVYBIT,directed
DECIENS CAPITAL,SYDECAR,directed
DECLARATION PARTNERS,CONCERTAI,directed
DECLARATION PARTNERS,SURE,directed
DEEP FORK CAPITAL,AMPLIFYLA,directed
DEFIANCE CAPITAL,GUILDFI,directed
DELIVERY HERO,FOODPANDA,directed
DELL TECHNOLOGIES CAPITAL,NASUNI,directed
DELL TECHNOLOGIES CAPITAL,NETSKOPE,directed
DELL TECHNOLOGIES CAPITAL,YUGABYTE,directed
DELPHI DIGITAL,YIELD GUILD GAMES,directed
DEMETER,DEEPKI,directed
DEUTSCHE BANK,ZEBRA TECHNOLOGIES,directed
DEUTSCHE BANK,SKYHIVE,directed
DEUTSCHE BANK,MIRAE ASSET GLOBAL INVESTMENTS,directed
DEUTSCHE BANK,PROXYMITY,directed
DEUTSCHE BANK,PAYPAL,directed
DEUTSCHE BORSE,FORGE,directed
DFINITY,FUNCTIONLAND,directed
DFJ GROWTH,GOOD TECHNOLOGY,directed
DHVC,ANKR,directed
DHVC,POLYCHAIN,directed
DIDI,CAREEM,directed
DIDI,BOLT,directed
DIGITAL CURRENCY GROUP,POLYGON,directed
DIGITAL CURRENCY GROUP,COINBASE,directed
DIGITAL CURRENCY GROUP,WYRE,directed
DIGITAL CURRENCY GROUP,ETORO,directed
DIGITAL CURRENCY GROUP,LEDGER,directed
DIGITAL CURRENCY GROUP,COINLIST,directed
DIGITAL CURRENCY GROUP,CIRCLE,directed
DIGITAL CURRENCY GROUP,LIGHTNING LABS,directed
DIGITAL CURRENCY GROUP,WORLDCOIN,directed
DIGITAL CURRENCY GROUP,DECENTRALAND,directed
DIGITAL CURRENCY GROUP,OXIO,directed
DIGITAL CURRENCY GROUP,FIGURE,directed
DIGITAL CURRENCY GROUP,ABRA,directed
DIGITAL CURRENCY GROUP,YIELD GUILD GAMES SOUTHEAST ASIA,directed
DIGITAL CURRENCY GROUP,BITPAY,directed
DIGITAL CURRENCY GROUP,DAPPER LABS,directed
DIGITAL CURRENCY GROUP,BITGO,directed
DIGITAL CURRENCY GROUP,RIPPLE,directed
DIGITAL CURRENCY GROUP,KRAKEN,directed
DIGITAL CURRENCY GROUP,RIPIO,directed
DIGITAL CURRENCY GROUP,PROTOCOL LABS,directed
DIGITAL CURRENCY GROUP,BLOCKCHAINCOM,directed
DILA CAPITAL,CAMINO FINANCIAL,directed
DIRECTV,TARANA WIRELESS,directed
DISRUPT VENTURES,CELSIUS NETWORK,directed
DISRUPTIVE,FORTO,directed
DIVCOWEST,COTTAGE,directed
DMG VENTURES,ZILCH,directed
DMG VENTURES,HAMBRO PERKS LTD,directed
DMZ,CREDPAL,directed
DN CAPITAL,EVERLI,directed
DN CAPITAL,GOSTUDENT,directed
DN CAPITAL,SEEDCAMP,directed
DNV GL,RAPTOR MAPS,directed
DOORDASH,ROOFSTOCK,directed
DORAHACKS,FUNCTIONLAND,directed
DORM ROOM FUND,BIOBOT ANALYTICS,directed
DRAGONEER INVESTMENT GROUP,ATLASSIAN,directed
DRAGONEER INVESTMENT GROUP,DUCK CREEK TECHNOLOGIES,directed
DRAGONEER INVESTMENT GROUP,HACKERONE,directed
DRAGONEER INVESTMENT GROUP,COMBOCURVE,directed
DRAGONEER INVESTMENT GROUP,MERCADOLIBRE,directed
DRAGONFLY CAPITAL PARTNERS,PARAFI CAPITAL,directed
DRAGONFLY CAPITAL PARTNERS,MATRIXPORT,directed
DRAPER ASSOCIATES,WYRE,directed
DRAPER ASSOCIATES,TWITCH,directed
DRAPER ASSOCIATES,LEDGER,directed
DRAPER ASSOCIATES,FORGE,directed
DRAPER ASSOCIATES,CROWDCUBE,directed
DRAPER ASSOCIATES,ZILINGO,directed
DRAPER ASSOCIATES,SLINGSHOT AEROSPACE,directed
DRAPER ASSOCIATES,GOLDBELLY,directed
DRAPER ASSOCIATES,THUMBTACK,directed
DRAPER ASSOCIATES,UNSTOPPABLE DOMAINS,directed
DRAPER ASSOCIATES,INDIEGOGO,directed
DRAPER ASSOCIATES,RIPIO,directed
DRAPER ASSOCIATES,EQUITYZEN,directed
DST GLOBAL,TOMO,directed
DST GLOBAL,BITPANDA,directed
DST GLOBAL,COGOPORT,directed
DTCP,FASTLY,directed
DTCP,TARANA WIRELESS,directed
DYAL CAPITAL PARTNERS,SILVER LAKE,directed
DYAL CAPITAL PARTNERS,SIXTH STREET,directed
DYAL CAPITAL PARTNERS,GOLUB CAPITAL,directed
DYAL CAPITAL PARTNERS,ICONIQ CAPITAL,directed
DYAL CAPITAL PARTNERS,HIG CAPITAL,directed
EARLSFIELD CAPITAL,FINANCEPEER,directed
EARLYBIRD VENTURE CAPITAL,PAYHAWK,directed
EARLYBIRD VENTURE CAPITAL,CARTO,directed
EASME EU EXECUTIVE AGENCY FOR SMES,SAP,directed
EAST VENTURES,JULO,directed
EAST VENTURES,NOVELSHIP,directed
EAST WEST BANK,LENNAR CORPORATION,directed
EBAY,SNAPDEAL,directed
ECHO HEALTH VENTURES,ELEANOR HEALTH,directed
ECLIPSE VENTURES,VEEV,directed
EDBI,BOLTTECH,directed
EDBI,WALKME,directed
EDUCAPITAL,PREPLY,directed
EIGHT ROADS VENTURES,MONEYBOX,directed
EIGHT ROADS VENTURES,NORTHERN ARC,directed
EIGHT ROADS VENTURES,NOOGATA,directed
EIGHT ROADS VENTURES,AMENITIZ,directed
EIGHT ROADS VENTURES,OTA INSIGHT,directed
EIGHT ROADS VENTURES,SECURONIX,directed
EIGHT ROADS VENTURES,MOENGAGE,directed
EIGHT ROADS VENTURES,DOCEREE,directed
EIGHT ROADS VENTURES,TOOTHSI,directed
EIGHT ROADS VENTURES,WUXI APPTEC,directed
ELDRIDGE,CAIS,directed
ELDRIDGE,SAMCART,directed
ELDRIDGE,SKYHIVE,directed
ELDRIDGE,VIRAL NATION,directed
ELECTRIC CAPITAL,NEAR PROTOCOL,directed
ELECTRIC CAPITAL,COINLIST,directed
ELECTRIC CAPITAL,MAGIC EDEN,directed
ELECTRONIC ARTS,UBISOFT,directed
ELEMENTAL EXCELERATOR,BLOCPOWER,directed
ELEPHANT,TRIPLE WHALE,directed
ELEPHANT,KNOWBE4,directed
ELEVATE CAPITAL,THE WILD,directed
ELLIOTT MANAGEMENT,SAP,directed
ELLIOTT MANAGEMENT,WIPRO TECHNOLOGIES,directed
EMBARK VENTURES,OPTIMAL DYNAMICS,directed
EMERGE EDUCATION,SALES IMPACT ACADEMY,directed
EMERGE EDUCATION,CREHANA,directed
EMERGENT VENTURES,EULER MOTORS,directed
EMERSON COLLECTIVE,NEARPOD,directed
EMERSON COLLECTIVE,GUILD EDUCATION,directed
EMERSON COLLECTIVE,ACLIMA,directed
EMTEK GROUP,PROPERTYGURU GROUP,directed
EMTEK GROUP,WARESIX,directed
EMVC,CARD91,directed
ENDEAVOR,2TM,directed
ENDEAVOR,DOLADO,directed
ENDEAVOR,LATITUD,directed
ENDEAVOUR VISION,INTELYCARE,directed
ENERGIZE VENTURES,SPARKCOGNITION,directed
ENERGY IMPACT PARTNERS,GROVER,directed
ENERGY IMPACT PARTNERS,ATTIVO NETWORKS,directed
ENERGY IMPACT PARTNERS,SMARTRENT,directed
ENERGY IMPACT PARTNERS,GRIDX,directed
ENERGY IMPACT PARTNERS,SENSE,directed
ENGIE,GOGORO,directed
ENIAC VENTURES,HIVE,directed
ENIAC VENTURES,PHIL,directed
EPIC VENTURES,CANOPY,directed
EPISODE 1,OMNIPRESENT,directed
EQT,DOJO,directed
EQT,IFS,directed
EQT VENTURES,HANDSHAKE,directed
EQT VENTURES,HACKERONE,directed
EQT VENTURES,NOTHING,directed
EQUAL VENTURES,SMARTHOP,directed
EQUITYZEN,SONOS,directed
EQUITYZEN,ADAPTIVE BIOTECHNOLOGIES,directed
EQUITYZEN,ZSCALER,directed
ESL GAMING,NAZARA TECHNOLOGIES,directed
ESO FUND,ATLASSIAN,directed
ETHEREUM FOUNDATION,STARKWARE INDUSTRIES,directed
EURAZEO,DOCTOLIB,directed
EURAZEO,AVI MEDICAL,directed
EURAZEO,QONTO,directed
EURAZEO,VESTIAIRE COLLECTIVE,directed
EURAZEO,SORARE,directed
EURAZEO,BEQOM,directed
EURAZEO,DATAIKU,directed
EURAZEO,ONFIDO,directed
EURAZEO,PPRO,directed
EURAZEO,FARFETCH,directed
EUROPEAN BANK FOR RECONSTRUCTION AND DEVELOPMENT,ZABKA POLSKA,directed
EUROPEAN COMMISSION,PROTONMAIL,directed
EUROPEAN INVESTMENT BANK,NOKIA,directed
EUROPEAN INVESTMENT BANK,ERICSSON,directed
EUROPEAN INVESTMENT BANK,ORANGE,directed
EUROPEAN REGIONAL DEVELOPMENT FUND ERDF,STARTUP WISE GUYS,directed
EVOLUTION VC PARTNERS,NATURAL FIBER WELDING,directed
EVOLUTION VC PARTNERS,DAILYPAY,directed
EVOLUTION VC PARTNERS,GREENLIGHT,directed
EVOLUTION VC PARTNERS,FUTURE FAMILY,directed
EVOTEC,SANOFI,directed
EXPERT DOJO,INSTORIED,directed
FG VENTURE,LIANLUO,directed
FABER,SEEDRS,directed
FABRIC VENTURES,DECENTRALAND,directed
FAIRFAX FINANCIAL HOLDINGS,BLACKBERRY,directed
FAIRFAX FINANCIAL HOLDINGS,DIGIT INSURANCE,directed
FANNIE MAE,GENERAL MOTORS,directed
FAR EAST ORGANIZATION,POPLAR HOMES,directed
FARFETCH,NEIMAN MARCUS GROUP,directed
FBG CAPITAL,ROCKX,directed
FBG CAPITAL,WINTERMUTE TRADING,directed
FEARLESS FUND,ENRICHHER,directed
FELICIS VENTURES,ADYEN,directed
FELICIS VENTURES,JUNIPER SQUARE,directed
FELICIS VENTURES,SHOPIFY,directed
FELICIS VENTURES,CLEO,directed
FELICIS VENTURES,ORIGIN,directed
FELICIS VENTURES,RING,directed
FELIX CAPITAL,RECAP,directed
FENBUSHI CAPITAL,ENJIN,directed
FENBUSHI CAPITAL,LONGHASH VENTURES,directed
FENBUSHI CAPITAL,RIPIO,directed
FENBUSHI CAPITAL,BITMART,directed
FENWAY SUMMER VENTURES,LENDABLE,directed
FF VENTURE CAPITAL,MONTONIO,directed
FF VENTURE CAPITAL,SURE,directed
FF VENTURE CAPITAL,INDIEGOGO,directed
FIDELITY INTERNATIONAL STRATEGIC VENTURES,MOONFARE,directed
FIDELITY MANAGEMENT AND RESEARCH COMPANY,CHECKR,directed
FIDELITY MANAGEMENT AND RESEARCH COMPANY,NYKAA,directed
FIDELITY MANAGEMENT AND RESEARCH COMPANY,SHIFT,directed
FIDELITY MANAGEMENT AND RESEARCH COMPANY,GUPSHUP,directed
FIDELITY MANAGEMENT AND RESEARCH COMPANY,SOMATUS,directed
FIDELITY MANAGEMENT AND RESEARCH COMPANY,THE HONEST COMPANY,directed
FIDELITY MANAGEMENT AND RESEARCH COMPANY,SONDER,directed
FIDELITY MANAGEMENT AND RESEARCH COMPANY,TANIUM,directed
FIDELITY MANAGEMENT AND RESEARCH COMPANY,SQUARESPACE,directed
FIDELITY MANAGEMENT AND RESEARCH COMPANY,RENT THE RUNWAY,directed
FIDELITY MANAGEMENT AND RESEARCH COMPANY,STARLING BANK,directed
FIDELITY MANAGEMENT AND RESEARCH COMPANY,OMADA HEALTH,directed
